department,count,latest,earliest
YGH,3,1970-02-16T10:36:41,1970-01-04T10:16:12
H1N,4,1970-02-17T15:02:56,1970-01-20T05:56:40
dEK,4,1970-01-17T19:37:04,1970-01-01T18:10:25
0g8,5,1970-02-26T09:03:05,1970-01-11T10:16:34
9XS,5,1970-03-01T17:41:51,1970-02-10T16:25:58
CtW,5,1970-02-17T22:13:55,1970-01-01T13:54:35
ory,5,1970-02-15T16:45:00,1970-01-03T07:10:23
PIJ,6,1970-02-05T11:01:29,1970-01-05T00:53:01
SSX,6,1970-02-25T23:02:43,1970-01-07T07:13:59
Tf8,6,1970-02-10T05:57:23,1970-01-13T16:04:36
UYx,6,1970-02-22T03:02:57,1970-01-10T12:07:49
cfN,6,1970-02-24T17:21:17,1970-01-01T09:36:32
h80,6,1970-02-28T04:46:10,1970-01-09T03:06:01
Cav,7,1970-02-25T10:20:10,1970-01-07T21:35:36
Lm0,7,1970-02-21T05:24:09,1970-01-05T04:06:16
PyW,7,1970-02-20T18:32:49,1970-01-09T18:00:52
cLA,7,1970-02-26T23:02:34,1970-01-03T01:19:47
kGT,7,1970-02-19T17:58:29,1970-01-07T05:22:50
rT4,7,1970-02-28T13:27:35,1970-01-19T15:12:54
uer,7,1970-02-19T11:35:45,1970-01-11T16:20:52
vUw,7,1970-02-20T16:16:46,1970-01-09T11:55:51
vaV,7,1970-03-02T10:01:17,1970-01-17T11:37:24
x7l,7,1970-02-27T10:33:29,1970-01-13T03:19:27
1X9,8,1970-02-24T15:16:20,1970-01-06T02:00:52
B7b,8,1970-03-02T15:53:12,1970-01-02T13:58:04
EYy,8,1970-02-26T14:57:17,1970-01-08T13:58:35
FVU,8,1970-02-17T09:38:33,1970-01-10T10:41:44
Loc,8,1970-02-20T01:28:31,1970-01-23T19:15:46
M9n,8,1970-02-19T00:49:32,1970-01-08T07:27:44
QGB,8,1970-03-02T07:15:58,1970-01-02T06:00:21
aDH,8,1970-02-14T03:13:38,1970-01-02T12:55:15
lul,8,1970-03-01T03:09:43,1970-01-07T12:37:42
5PI,9,1970-02-24T23:02:29,1970-01-03T21:17:54
Cou,9,1970-03-02T06:47:46,1970-01-09T08:23:50
L5P,9,1970-03-02T09:33:44,1970-01-02T16:04:07
LBP,9,1970-02-21T17:42:54,1970-01-06T11:29:47
LRD,9,1970-02-28T05:14:05,1970-01-12T04:41:21
WxR,9,1970-02-23T21:51:20,1970-01-11T00:12:33
f2o,9,1970-03-02T23:23:00,1970-01-06T00:49:20
sc2,9,1970-03-01T15:30:13,1970-01-05T15:49:45
xs7,9,1970-02-27T08:33:20,1970-01-12T21:57:13
ytx,9,1970-02-22T13:55:36,1970-01-15T18:54:14
zj0,9,1970-02-23T15:48:55,1970-01-04T05:51:53
7y8,10,1970-02-28T17:11:35,1970-01-05T23:48:18
HfQ,10,1970-03-02T16:53:17,1970-01-16T18:24:46
PJ9,10,1970-03-01T08:15:45,1970-01-13T09:38:15
bV7,10,1970-02-28T07:47:58,1970-01-02T10:39:08
bsQ,10,1970-03-02T14:38:59,1970-01-02T07:51:52
kJV,10,1970-02-14T05:16:23,1970-01-02T16:44:02
m1N,10,1970-02-25T07:32:42,1970-01-01T13:12:25
rJl,10,1970-03-02T02:08:09,1970-01-01T08:26:57
yGo,10,1970-03-01T12:10:31,1970-01-21T06:05:48
0vH,11,1970-02-24T08:47:17,1970-01-05T23:03:18
5Fl,11,1970-02-21T20:07:16,1970-01-01T16:51:38
Bd1,11,1970-02-28T14:48:02,1970-01-10T19:20:01
CC4,11,1970-02-28T21:57:54,1970-01-01T14:11:17
CI0,11,1970-02-27T00:06:41,1970-01-05T04:24:00
H6S,11,1970-02-26T07:45:23,1970-01-09T23:35:22
IhJ,11,1970-02-24T01:39:13,1970-01-06T09:25:30
KNl,11,1970-03-02T12:23:35,1970-01-07T15:47:15
LfM,11,1970-02-28T12:24:14,1970-01-16T14:04:45
N1Z,11,1970-02-25T03:57:24,1970-01-09T21:41:06
ReL,11,1970-02-22T22:46:10,1970-01-01T21:15:28
SN2,11,1970-03-01T01:03:54,1970-01-04T15:57:39
UlO,11,1970-02-26T02:21:19,1970-01-19T18:19:39
iut,11,1970-02-22T02:01:24,1970-01-15T21:20:28
mJy,11,1970-03-01T05:46:51,1970-01-01T14:43:55
mi8,11,1970-02-25T21:51:21,1970-01-05T20:11:04
oQA,11,1970-02-28T08:40:10,1970-01-06T18:04:09
r7A,11,1970-02-25T17:46:00,1970-01-02T23:16:36
rkc,11,1970-02-25T20:02:41,1970-01-10T03:03:50
9yi,12,1970-02-25T15:16:42,1970-01-01T21:13:22
GAg,12,1970-02-21T00:42:50,1970-01-06T06:56:27
giB,12,1970-03-02T18:54:07,1970-01-08T12:00:39
rCV,12,1970-02-27T07:13:37,1970-01-05T19:18:17
sXl,12,1970-03-02T14:34:54,1970-01-04T08:28:49
x9d,12,1970-03-02T21:09:01,1970-01-05T03:48:19
3FV,13,1970-02-25T11:33:16,1970-01-02T02:22:26
85X,13,1970-02-28T23:04:15,1970-01-02T22:00:44
HbG,13,1970-02-28T05:06:26,1970-01-09T05:47:34
PCV,13,1970-02-27T19:38:48,1970-01-02T08:40:11
Q7p,13,1970-02-27T17:26:26,1970-01-07T17:19:24
fot,13,1970-02-26T17:29:36,1970-01-10T09:05:05
ria,13,1970-03-01T22:22:24,1970-01-08T04:48:22
slY,13,1970-02-23T03:35:05,1970-01-09T14:40:08
HaH,14,1970-02-28T14:19:04,1970-01-06T03:09:36
LTi,14,1970-03-01T23:35:26,1970-01-02T15:32:15
iMF,14,1970-02-24T00:05:20,1970-01-03T13:11:25
xvQ,14,1970-02-19T07:19:15,1970-01-02T01:42:44
xzF,14,1970-03-01T20:07:23,1970-01-04T02:15:47
9fU,15,1970-02-24T02:36:11,1970-01-10T04:55:58
Vbq,15,1970-03-02T04:49:58,1970-01-01T12:04:01
Z4j,15,1970-02-28T19:56:47,1970-01-02T04:12:01
sBd,15,1970-02-24T12:55:05,1970-01-04T10:02:28
sHu,15,1970-03-01T10:50:47,1970-01-07T13:30:04
8T0,16,1970-03-01T13:47:15,1970-01-02T12:02:25
wa3,16,1970-03-01T08:17:43,1970-01-01T18:57:32
Oe0,19,1970-02-24T20:31:41,1970-01-03T04:53:18
7RL,21,1970-03-01T15:52:33,1970-01-02T18:33:20
