id,time
65,1970-01-01T08:06:53
5,1970-01-01T08:34:28
75,1970-01-01T11:10:53
48,1970-01-01T13:33:36
83,1970-01-01T15:45:19
58,1970-01-01T17:09:12
83,1970-01-01T17:45:24
65,1970-01-01T17:53:15
55,1970-01-01T20:13:57
50,1970-01-01T22:26:49
51,1970-01-01T22:52:07
57,1970-01-02T00:58:53
29,1970-01-02T01:27:08
83,1970-01-02T01:47:12
40,1970-01-02T03:36:34
95,1970-01-02T04:54:09
85,1970-01-02T04:58:07
36,1970-01-02T06:04:06
83,1970-01-02T06:58:27
99,1970-01-02T09:08:06
80,1970-01-02T10:15:52
64,1970-01-02T11:05:49
69,1970-01-02T13:27:57
45,1970-01-02T15:00:10
34,1970-01-02T15:37:01
54,1970-01-02T16:40:07
20,1970-01-02T18:36:01
46,1970-01-02T21:04:22
87,1970-01-02T21:55:40
34,1970-01-03T00:04:11
81,1970-01-03T01:07:19
76,1970-01-03T02:47:23
41,1970-01-03T05:15:51
87,1970-01-03T07:43:30
26,1970-01-03T09:54:57
27,1970-01-03T11:20:32
84,1970-01-03T12:45:51
91,1970-01-03T15:04:35
20,1970-01-03T15:59:32
96,1970-01-03T18:22:09
32,1970-01-03T20:34:23
77,1970-01-03T21:05:23
36,1970-01-03T22:32:40
71,1970-01-04T00:18:48
16,1970-01-04T02:12:09
35,1970-01-04T04:02:03
4,1970-01-04T06:41:57
92,1970-01-04T06:48:04
65,1970-01-04T08:43:32
74,1970-01-04T11:24:20
27,1970-01-04T13:54:21
56,1970-01-04T15:22:33
12,1970-01-04T16:50:52
89,1970-01-04T17:20:09
87,1970-01-04T19:01:46
16,1970-01-04T21:02:10
70,1970-01-04T22:20:49
63,1970-01-05T00:23:13
41,1970-01-05T02:22:53
17,1970-01-05T04:44:10
48,1970-01-05T07:06:58
96,1970-01-05T07:27:44
32,1970-01-05T08:12:17
91,1970-01-05T08:38:40
79,1970-01-05T08:39:33
9,1970-01-05T10:59:34
34,1970-01-05T12:38:21
28,1970-01-05T14:20:27
83,1970-01-05T16:00:39
58,1970-01-05T18:41:36
20,1970-01-05T20:10:20
63,1970-01-05T22:43:11
25,1970-01-05T23:52:03
71,1970-01-06T01:01:24
53,1970-01-06T02:49:13
45,1970-01-06T05:11:25
89,1970-01-06T06:43:23
18,1970-01-06T07:42:00
37,1970-01-06T08:08:21
95,1970-01-06T08:17:53
78,1970-01-06T11:00:26
7,1970-01-06T11:22:04
51,1970-01-06T12:12:18
7,1970-01-06T12:42:47
35,1970-01-06T14:53:48
28,1970-01-06T16:02:24
47,1970-01-06T18:03:56
81,1970-01-06T18:31:47
24,1970-01-06T20:45:13
17,1970-01-06T22:51:19
82,1970-01-07T01:14:39
79,1970-01-07T01:53:06
94,1970-01-07T04:15:26
83,1970-01-07T05:49:30
36,1970-01-07T07:14:01
60,1970-01-07T08:44:42
43,1970-01-07T10:58:10
15,1970-01-07T13:44:41
99,1970-01-07T16:15:45
49,1970-01-07T16:39:49
36,1970-01-07T19:19:50
38,1970-01-07T19:20:09
62,1970-01-07T21:39:44
2,1970-01-07T23:21:03
1,1970-01-08T01:04:29
39,1970-01-08T01:41:22
72,1970-01-08T04:04:08
6,1970-01-08T05:58:58
26,1970-01-08T06:06:51
8,1970-01-08T07:21:07
55,1970-01-08T08:47:30
