department,count,latest,earliest
Oea,5,1970-02-25T08:02:36,1970-01-08T04:30:44
cNW,5,1970-02-14T22:30:40,1970-01-11T17:27:37
hh1,5,1970-02-20T11:24:53,1970-01-08T20:35:26
qri,5,1970-02-16T21:20:11,1970-01-05T19:26:35
9gE,6,1970-02-15T05:28:45,1970-01-04T06:59:25
Rno,6,1970-02-26T13:29:59,1970-01-16T05:45:09
eIC,6,1970-01-31T17:00:53,1970-01-13T12:40:15
4Qa,7,1970-02-15T12:33:08,1970-01-05T03:49:46
KbD,7,1970-02-26T14:13:10,1970-01-02T06:51:07
XcN,7,1970-02-24T14:39:26,1970-01-10T11:25:15
axP,7,1970-02-25T13:29:39,1970-01-06T09:38:32
kbW,7,1970-02-23T19:28:07,1970-01-16T16:28:37
wgm,7,1970-02-26T08:46:45,1970-01-19T22:39:39
zqe,7,1970-02-14T03:30:36,1970-01-06T11:34:46
3fT,8,1970-02-26T20:16:05,1970-01-06T05:10:55
77J,8,1970-02-26T22:47:59,1970-01-12T22:53:47
8wV,8,1970-02-26T08:36:56,1970-01-01T15:57:08
IZS,8,1970-02-20T07:39:35,1970-01-03T11:44:07
QKM,8,1970-02-16T04:58:05,1970-01-01T21:51:54
QLK,8,1970-02-21T14:44:39,1970-01-13T13:31:37
VVU,8,1970-02-18T19:50:55,1970-01-04T01:27:02
bPQ,8,1970-02-25T12:40:56,1970-01-22T12:32:30
cFA,8,1970-02-17T13:02:25,1970-01-13T19:01:31
dmp,8,1970-02-16T03:13:13,1970-01-03T05:12:21
hkb,8,1970-02-25T01:17:53,1970-01-04T23:49:56
icI,8,1970-02-22T11:54:50,1970-01-07T04:45:00
k3e,8,1970-02-12T03:01:50,1970-01-01T10:45:32
rIu,8,1970-02-14T01:27:48,1970-01-07T00:17:36
vbR,8,1970-01-28T08:43:20,1970-01-04T18:02:54
xbo,8,1970-02-21T21:25:10,1970-01-05T01:33:07
6Ja,9,1970-02-24T21:07:17,1970-01-13T01:30:36
DZv,9,1970-02-10T08:01:47,1970-01-02T18:04:52
DqG,9,1970-02-26T02:05:38,1970-01-06T02:00:22
Dxo,9,1970-02-17T17:05:30,1970-01-02T03:03:42
JPE,9,1970-02-21T06:33:06,1970-01-01T23:11:11
NzP,9,1970-02-25T18:59:29,1970-01-11T00:36:33
QiP,9,1970-02-22T02:56:57,1970-01-05T08:02:37
Rhx,9,1970-02-27T01:44:01,1970-01-03T23:55:57
Sw6,9,1970-02-26T11:47:14,1970-01-09T08:09:24
UGQ,9,1970-02-26T02:25:07,1970-01-11T16:13:42
UM8,9,1970-02-22T00:56:18,1970-01-04T20:09:24
clQ,9,1970-02-25T14:24:46,1970-01-05T08:48:59
dOX,9,1970-02-23T07:25:20,1970-01-05T05:52:04
nbq,9,1970-02-23T20:27:14,1970-01-05T08:47:45
43p,10,1970-02-24T13:19:32,1970-01-03T19:20:46
7eg,10,1970-02-25T06:04:16,1970-01-09T02:43:00
BCq,10,1970-02-20T23:00:41,1970-01-05T21:36:15
FRt,10,1970-02-23T15:37:21,1970-01-04T04:02:41
JqO,10,1970-02-23T22:39:11,1970-01-03T17:21:26
OA1,10,1970-02-22T03:50:05,1970-01-03T14:21:45
Rg5,10,1970-02-23T13:33:42,1970-01-10T07:09:20
UaA,10,1970-02-25T14:17:47,1970-01-02T21:43:01
Uxs,10,1970-02-23T04:01:45,1970-01-02T15:25:00
WXp,10,1970-02-15T08:54:45,1970-01-07T10:00:13
dbk,10,1970-02-26T10:06:36,1970-01-09T04:10:45
gPH,10,1970-02-27T05:14:22,1970-01-01T10:42:41
kRw,10,1970-02-17T05:09:37,1970-01-13T03:13:19
osc,10,1970-02-25T16:20:25,1970-01-08T15:38:27
phx,10,1970-02-18T14:12:43,1970-01-03T02:21:43
tlb,10,1970-02-23T04:06:36,1970-01-03T05:57:51
wFO,10,1970-02-22T12:48:06,1970-01-01T19:08:15
zhQ,10,1970-02-26T20:43:57,1970-01-07T01:06:47
zrr,10,1970-02-22T22:52:56,1970-01-02T20:48:07
22j,11,1970-02-23T03:06:44,1970-01-01T12:15:13
7Uc,11,1970-02-26T03:11:38,1970-01-19T04:58:44
DS4,11,1970-02-11T16:29:06,1970-01-01T18:15:33
Vq4,11,1970-02-20T11:20:14,1970-01-03T17:09:59
X2N,11,1970-02-27T03:10:34,1970-01-03T08:30:46
a7U,11,1970-02-20T20:18:20,1970-01-02T11:55:59
okk,11,1970-02-19T10:24:02,1970-01-08T03:49:52
pcJ,11,1970-02-25T10:46:52,1970-01-09T23:24:14
sU1,11,1970-02-20T01:58:46,1970-01-08T13:42:15
V7e,12,1970-02-26T16:51:37,1970-01-04T22:30:14
WvG,12,1970-02-26T17:42:12,1970-01-02T11:12:41
gJ4,12,1970-02-20T20:17:33,1970-01-07T10:31:42
zgZ,12,1970-02-18T02:44:20,1970-01-04T13:51:22
0i1,13,1970-02-25T22:22:50,1970-01-07T02:47:30
2rU,13,1970-02-19T03:01:39,1970-01-02T16:11:50
88B,13,1970-02-17T01:43:15,1970-01-01T19:56:10
9KW,13,1970-02-21T14:19:33,1970-01-04T11:19:55
BcC,13,1970-02-26T06:09:53,1970-01-08T05:53:19
DUL,13,1970-02-22T20:44:36,1970-01-01T13:20:56
b2I,13,1970-02-21T12:13:15,1970-01-02T11:33:23
cNL,13,1970-02-21T22:40:36,1970-01-02T00:47:25
fMb,13,1970-02-24T16:36:09,1970-01-04T04:53:09
ga8,13,1970-02-20T17:14:00,1970-01-04T15:31:21
hYZ,13,1970-02-26T01:21:01,1970-01-08T09:46:09
ra7,13,1970-02-21T05:49:58,1970-01-02T06:09:00
s86,13,1970-02-14T02:43:54,1970-01-11T08:35:35
dZE,14,1970-02-25T20:24:19,1970-01-05T15:46:15
gtu,14,1970-02-26T04:56:05,1970-01-05T00:50:23
p4M,14,1970-02-24T23:38:14,1970-01-03T10:01:36
GaH,15,1970-02-22T15:15:31,1970-01-10T01:19:23
fty,15,1970-02-26T23:42:05,1970-01-02T05:04:40
sJP,15,1970-02-27T03:53:16,1970-01-08T11:05:12
NPm,16,1970-02-18T02:44:25,1970-01-01T09:49:37
krP,16,1970-02-24T10:39:23,1970-01-02T23:58:52
TfA,17,1970-02-22T09:49:47,1970-01-02T12:45:19
qv7,17,1970-02-26T03:53:56,1970-01-04T08:01:36
