id,time
82,1970-01-01T09:49:37
44,1970-01-01T10:42:41
85,1970-01-01T10:45:32
60,1970-01-01T12:15:13
8,1970-01-01T13:20:56
46,1970-01-01T15:57:08
72,1970-01-01T18:15:33
89,1970-01-01T19:08:15
81,1970-01-01T19:56:10
35,1970-01-01T21:51:54
43,1970-01-01T23:11:11
41,1970-01-02T00:47:25
82,1970-01-02T01:16:50
13,1970-01-02T03:03:42
10,1970-01-02T05:04:40
40,1970-01-02T06:09:00
25,1970-01-02T06:51:07
10,1970-01-02T09:03:46
61,1970-01-02T11:12:41
50,1970-01-02T11:33:23
2,1970-01-02T11:55:59
52,1970-01-02T12:45:19
35,1970-01-02T12:45:27
79,1970-01-02T15:25:00
57,1970-01-02T16:11:50
84,1970-01-02T18:04:52
67,1970-01-02T20:48:07
48,1970-01-02T21:43:01
59,1970-01-02T23:58:52
6,1970-01-03T02:21:43
60,1970-01-03T03:46:35
15,1970-01-03T05:12:21
17,1970-01-03T05:57:51
17,1970-01-03T08:06:40
39,1970-01-03T08:30:46
2,1970-01-03T08:33:26
99,1970-01-03T10:01:36
62,1970-01-03T11:44:07
69,1970-01-03T14:21:45
35,1970-01-03T15:47:44
51,1970-01-03T17:09:59
95,1970-01-03T17:21:26
49,1970-01-03T19:20:46
99,1970-01-03T21:27:10
63,1970-01-03T23:55:57
40,1970-01-04T00:16:48
80,1970-01-04T01:27:02
68,1970-01-04T04:02:41
3,1970-01-04T04:53:09
29,1970-01-04T06:59:25
9,1970-01-04T08:01:36
52,1970-01-04T08:49:48
84,1970-01-04T09:34:28
76,1970-01-04T11:19:55
82,1970-01-04T11:54:01
79,1970-01-04T13:47:11
42,1970-01-04T13:51:22
23,1970-01-04T15:31:21
8,1970-01-04T15:41:31
28,1970-01-04T18:02:54
99,1970-01-04T18:05:35
97,1970-01-04T20:09:24
40,1970-01-04T20:36:49
12,1970-01-04T22:30:14
1,1970-01-04T23:49:56
7,1970-01-05T00:50:23
83,1970-01-05T01:33:07
6,1970-01-05T01:53:38
88,1970-01-05T03:49:46
4,1970-01-05T05:52:04
27,1970-01-05T08:02:37
18,1970-01-05T08:47:45
87,1970-01-05T08:48:59
72,1970-01-05T09:18:07
69,1970-01-05T09:51:02
67,1970-01-05T10:38:05
49,1970-01-05T13:24:30
70,1970-01-05T15:46:15
1,1970-01-05T18:28:46
77,1970-01-05T19:26:35
11,1970-01-05T21:36:15
70,1970-01-05T23:20:49
14,1970-01-06T02:00:22
3,1970-01-06T02:56:15
4,1970-01-06T03:09:28
21,1970-01-06T05:10:55
10,1970-01-06T05:57:04
84,1970-01-06T06:08:35
21,1970-01-06T07:29:49
75,1970-01-06T09:38:32
28,1970-01-06T10:40:48
5,1970-01-06T11:34:46
88,1970-01-06T11:37:59
87,1970-01-06T11:51:27
35,1970-01-06T14:05:48
9,1970-01-06T14:38:24
41,1970-01-06T17:01:15
75,1970-01-06T19:47:12
50,1970-01-06T22:05:40
1,1970-01-06T23:04:32
36,1970-01-07T00:17:36
58,1970-01-07T01:06:47
24,1970-01-07T02:47:30
53,1970-01-07T04:45:00
10,1970-01-07T05:05:06
9,1970-01-07T06:54:31
5,1970-01-07T09:05:45
55,1970-01-07T10:00:13
65,1970-01-07T10:31:42
63,1970-01-07T12:39:48
58,1970-01-07T14:09:35
57,1970-01-07T14:19:40
39,1970-01-07T16:21:07
21,1970-01-07T17:28:19
95,1970-01-07T19:40:44
50,1970-01-07T20:28:26
8,1970-01-07T20:55:39
82,1970-01-07T23:33:37
41,1970-01-08T01:08:31
86,1970-01-08T03:49:52
92,1970-01-08T04:30:44
98,1970-01-08T05:53:19
76,1970-01-08T08:26:56
73,1970-01-08T09:46:09
71,1970-01-08T11:05:12
34,1970-01-08T13:42:15
71,1970-01-08T15:21:30
94,1970-01-08T15:38:27
57,1970-01-08T15:43:26
84,1970-01-08T18:04:12
19,1970-01-08T20:35:26
67,1970-01-08T23:13:39
