department,count,latest,earliest
coc,2,1970-01-26T00:27:49,1970-01-04T11:47:38
5i9,4,1970-02-07T10:30:04,1970-01-02T05:42:26
Gig,4,1970-02-21T15:20:08,1970-01-22T06:18:30
Uv8,4,1970-02-07T21:07:53,1970-01-06T11:44:58
DXv,5,1970-02-20T03:03:29,1970-01-20T12:49:45
avi,5,1970-02-20T07:52:44,1970-01-03T10:20:59
r24,5,1970-02-22T12:39:15,1970-01-25T05:25:33
55b,6,1970-02-24T22:02:07,1970-01-16T09:01:04
eok,6,1970-02-26T04:43:23,1970-01-04T22:04:20
fzE,6,1970-02-24T11:46:57,1970-01-01T22:37:47
kIM,6,1970-02-25T02:11:36,1970-01-08T12:46:49
nLX,6,1970-02-17T13:19:22,1970-01-04T07:27:40
o0I,6,1970-02-21T21:31:22,1970-01-08T15:36:51
zUF,6,1970-02-02T11:37:34,1970-01-10T07:49:56
8ZW,7,1970-02-18T07:20:11,1970-01-01T18:35:21
Hya,7,1970-02-15T23:57:48,1970-01-10T01:22:39
YII,7,1970-02-23T00:50:41,1970-01-17T22:54:04
Z1K,7,1970-02-26T19:07:55,1970-01-04T00:02:49
hrT,7,1970-02-25T00:07:25,1970-01-21T02:53:33
s1o,7,1970-02-25T19:03:10,1970-01-21T20:16:07
1px,8,1970-02-24T09:37:55,1970-01-02T06:42:07
3RQ,8,1970-02-15T13:33:20,1970-01-01T17:26:50
4eb,8,1970-02-23T22:47:24,1970-01-06T04:47:32
9o7,8,1970-02-22T11:59:21,1970-01-15T04:32:59
IMp,8,1970-02-24T07:28:58,1970-01-05T18:51:18
SB1,8,1970-02-26T21:04:05,1970-01-09T19:49:34
XNv,8,1970-02-26T16:37:10,1970-01-13T02:16:40
hmF,8,1970-02-21T13:06:02,1970-01-12T12:41:02
jIb,8,1970-02-24T12:54:19,1970-01-03T12:35:50
xtk,8,1970-02-26T12:24:25,1970-01-14T20:23:43
zZv,8,1970-02-25T15:48:32,1970-01-06T17:03:15
19p,9,1970-02-26T08:41:23,1970-01-04T04:02:32
A10,9,1970-02-26T06:25:17,1970-01-03T20:18:57
Cy4,9,1970-02-25T21:22:56,1970-01-08T10:06:53
GDb,9,1970-02-16T19:29:54,1970-01-02T04:49:38
GhU,9,1970-02-25T12:33:29,1970-01-02T13:08:40
XVO,9,1970-02-26T15:45:02,1970-01-08T19:21:24
YCP,9,1970-02-26T09:44:42,1970-01-04T08:29:05
ho1,9,1970-02-09T12:45:54,1970-01-05T14:39:39
jkV,9,1970-02-25T16:58:25,1970-01-03T04:07:25
vyN,9,1970-02-25T23:41:09,1970-01-02T18:36:56
3wT,10,1970-02-19T23:09:10,1970-01-05T10:40:27
AB4,10,1970-02-21T17:12:33,1970-01-07T06:03:42
Ek5,10,1970-02-25T00:09:14,1970-01-09T01:37:03
FEg,10,1970-02-10T15:21:52,1970-01-01T20:48:37
O17,10,1970-02-24T19:18:43,1970-01-08T11:59:09
XuL,10,1970-02-18T11:45:02,1970-01-04T04:01:23
cT9,10,1970-02-11T05:42:48,1970-01-04T08:03:38
ew9,10,1970-02-21T22:22:08,1970-01-05T13:08:07
fjS,10,1970-02-26T02:52:22,1970-01-05T22:27:25
la6,10,1970-02-21T06:12:11,1970-01-08T03:34:29
mbJ,10,1970-02-26T03:34:52,1970-01-10T16:01:57
nAW,10,1970-02-09T14:15:25,1970-01-07T07:53:54
xRd,10,1970-02-26T17:33:28,1970-01-02T16:32:33
