department,count,latest,earliest
L,5,1970-02-25T07:50:20,1970-01-03T21:01:38
G,6,1970-02-10T18:13:29,1970-01-12T17:35:35
u,6,1970-02-14T05:31:12,1970-01-11T18:00:21
8,7,1970-02-24T10:26:38,1970-01-04T08:47:09
o,7,1970-02-12T13:27:50,1970-01-05T16:28:03
r,7,1970-02-18T10:10:57,1970-01-11T23:03:46
j,8,1970-02-23T05:36:29,1970-01-03T00:40:34
v,8,1970-02-23T20:24:31,1970-01-14T08:39:18
7,9,1970-02-25T05:15:40,1970-01-07T13:26:57
9,9,1970-02-18T20:10:18,1970-01-12T23:39:53
B,9,1970-02-27T23:45:59,1970-01-02T19:05:39
W,9,1970-02-24T04:22:23,1970-01-02T16:48:29
f,9,1970-02-15T19:19:22,1970-01-23T09:48:12
S,10,1970-02-19T10:46:15,1970-01-06T10:04:17
b,11,1970-02-28T03:41:15,1970-01-15T02:02:49
5,12,1970-02-27T05:43:45,1970-01-05T11:58:19
d,12,1970-02-17T14:26:31,1970-01-14T12:01:59
K,13,1970-02-27T16:47:40,1970-01-04T22:31:41
w,13,1970-02-21T19:00:19,1970-01-13T21:16:40
D,14,1970-02-20T09:16:34,1970-01-03T22:57:16
J,14,1970-02-26T21:46:22,1970-01-03T05:57:38
P,14,1970-02-22T12:02:58,1970-01-14T03:49:36
l,14,1970-02-25T20:28:00,1970-01-02T03:29:23
a,15,1970-02-16T05:56:58,1970-01-04T13:44:36
2,16,1970-02-27T09:25:56,1970-01-01T13:48:56
Q,18,1970-02-17T19:02:17,1970-01-05T22:02:24
x,18,1970-02-27T04:04:00,1970-01-04T08:27:49
R,19,1970-02-20T18:56:33,1970-01-02T16:08:36
c,19,1970-02-23T13:35:10,1970-01-04T03:06:33
s,19,1970-02-27T08:49:30,1970-01-02T02:01:09
4,20,1970-02-26T16:46:06,1970-01-01T12:15:03
U,20,1970-02-24T07:26:20,1970-01-05T02:46:45
E,21,1970-02-27T18:43:41,1970-01-01T20:13:08
X,21,1970-02-25T00:10:11,1970-01-04T05:47:35
h,21,1970-02-27T07:57:32,1970-01-10T12:00:22
n,21,1970-02-25T14:10:23,1970-01-04T19:00:51
y,21,1970-02-27T10:56:44,1970-01-05T19:56:47
I,23,1970-02-28T01:51:30,1970-01-01T22:36:45
V,23,1970-02-27T14:48:02,1970-01-02T13:22:40
p,23,1970-02-27T13:07:43,1970-01-02T01:25:34
z,29,1970-02-23T09:45:43,1970-01-06T02:07:21
C,30,1970-02-28T00:46:42,1970-01-02T01:19:57
t,31,1970-02-25T18:08:10,1970-01-01T09:46:28
m,32,1970-02-20T11:23:02,1970-01-02T08:32:30
g,34,1970-02-26T22:21:36,1970-01-01T16:13:43
0,35,1970-02-25T22:31:26,1970-01-02T15:41:24
e,37,1970-02-27T05:47:16,1970-01-01T18:49:22
Y,42,1970-02-27T22:25:42,1970-01-02T11:18:59
H,49,1970-02-27T20:55:38,1970-01-02T15:48:24
k,57,1970-02-26T15:52:10,1970-01-02T05:52:14
6,60,1970-02-28T06:01:44,1970-01-02T22:12:33
